Comment,Designator,Footprint,LCSC Part #
5.1k 0603 1%,"R1,R2",R_0603,C23186
10k 0603 1%,"R3,R5,R6,R7",R_0603,C98220
2.7k 0603 1%,R4,R_0603,C13167
100nF 50V 0603,"C2,C4,C6,C12,C13",C_0603,C14663
10uF 25V 0805,"C5,C7,C11,C14",C_0805,C15850
22uF 25V 0805,C3,C_0805,C45783
220uF 25V,C1,CP_Elec_6.3x7.7,C2918361
12MHz,Y1,Crystal_SMD_3225-4Pin,C9002
AMS1117-3.3,U1,SOT-223,C6186
FE1.1S,U5,SSOP-28,C9359
USBLC6-2SC6,"U6,U7,U8,U9",SOT-23-6,C2687116
SMAJ5.0A,D2,D_SMA,C2925443
PPTC 2A,F1,Fuse_1812,C960026
PPTC 500mA,"F2,F3,F4,F5",Fuse_1812,C369168
USB-C TYPE-C-31-M-12,J3,USB_C_HRO,C165948
USB-A hembra horiz 902-131A,"J1,J2",USB_A_horiz,C2345
